Parameters
Initial Cop Density,0.05
Initial Agent Density,0.8
Vision,7
Max Jail Term,28
Government Legitimacy,0.8
Movement Agents,true
Movement Cops,true
Width,100
Height,100

time_step,quiet,active,jailed
0,8000,0,0
1,7798,31,171
2,7800,0,200
3,7800,0,200
4,7804,0,196
5,7802,1,197
6,7806,1,193
7,7803,3,194
8,7808,1,191
9,7804,4,192
10,7804,0,196
11,7808,0,192
12,7804,1,195
13,7807,0,193
14,7806,1,193
15,7802,1,197
16,7806,1,193
17,7805,0,195
18,7787,16,197
19,7715,71,214
20,7548,210,242
21,7227,447,326
22,6876,683,441
23,6416,973,611
24,5952,1187,861
25,5270,1545,1185
26,4595,1823,1582
27,4295,1715,1990
28,4242,1395,2363
29,4352,957,2691
30,4502,591,2907
31,4649,289,3062
32,4826,118,3056
33,4981,36,2983
34,5116,0,2884
35,5255,2,2743
36,5386,1,2613
37,5506,2,2492
38,5611,1,2388
39,5700,1,2299
40,5835,1,2164
41,5946,1,2053
42,6087,4,1909
43,6207,0,1793
44,6302,1,1697
45,6387,2,1611
46,6517,0,1483
47,6631,0,1369
48,6754,21,1225
49,6640,213,1147
50,6411,458,1131
51,6259,606,1135
52,6046,742,1212
53,5764,910,1326
54,5447,1042,1511
55,5024,1177,1799
56,4647,1255,2098
57,4448,1147,2405
58,4507,853,2640
59,4645,545,2810
60,4801,264,2935
61,4976,84,2940
62,5106,26,2868
63,5222,4,2774
64,5331,1,2668
65,5459,1,2540
66,5567,0,2433
67,5693,2,2305
68,5790,2,2208
69,5919,2,2079
70,6038,0,1962
71,6129,0,1871
72,6231,1,1768
73,6340,0,1660
74,6452,1,1547
75,6557,3,1440
76,6679,0,1321
77,6802,0,1198
78,6925,0,1075
79,7012,1,987
80,7100,2,898
81,7195,2,803
82,7294,0,706
83,7365,1,634
84,7465,1,534
85,7514,2,484
86,7558,1,441
87,7609,0,391
88,7644,1,355
89,7672,1,327
90,7696,0,304
91,7722,2,276
92,7742,0,258
93,7745,3,252
94,7759,1,240
95,7771,1,228
96,7782,2,216
97,7782,2,216
98,7780,1,219
99,7786,0,214
100,7787,2,211
101,7791,0,209
102,7793,0,207
103,7800,1,199
104,7793,3,204
105,7794,0,206
106,7799,0,201
107,7799,1,200
108,7805,3,192
109,7796,5,199
110,7804,2,194
111,7800,3,197
112,7801,0,199
113,7799,2,199
114,7801,0,199
115,7802,2,196
116,7803,1,196
117,7801,1,198
118,7802,0,198
119,7800,3,197
120,7805,3,192
121,7791,1,208
122,7798,2,200
123,7718,75,207
124,7467,269,264
125,6944,670,386
126,6223,1192,585
127,5428,1696,876
128,4925,1848,1227
129,4535,1829,1636
130,4217,1720,2063
131,4180,1347,2473
132,4286,884,2830
133,4464,465,3071
134,4661,161,3178
135,4840,23,3137
136,4941,14,3045
137,5091,2,2907
138,5218,1,2781
139,5336,2,2662
140,5442,3,2555
141,5588,0,2412
142,5724,1,2275
143,5848,2,2150
